bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,8eb54fd1-3b77-4de8-a6eb-63cb080010e7,1,,,18236,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,dc677ade-3585-44c9-a377-c795a65c6310,2,,,18236,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 15036, 'name': 'Edwin van der Sar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18239, 'name': 'Fábio Pereira da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 20171, 'name': 'Rio Ferdinand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20172, 'name': 'Nemanja Vidić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20175, 'name': 'Ryan Giggs'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3267, 'name': 'Luis Antonio Valencia Mosquera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 20173, 'name': 'Ji-Sung Park'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,de4c3384-3748-46b1-b6f0-6d7fd5ed41ab,3,,,18236,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['206bb9ff-6848-4c98-8b81-797aaf24192b'],0,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,206bb9ff-6848-4c98-8b81-797aaf24192b,4,,,18236,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['de4c3384-3748-46b1-b6f0-6d7fd5ed41ab'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,60815484-b3cd-4473-8c83-9347cf6daa4b,2218,,,18236,45,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Barcelona,217,['b9090216-bcf1-4c4f-b128-e81689d1144b'],0,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,b9090216-bcf1-4c4f-b128-e81689d1144b,2219,,,18236,45,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Barcelona,217,['60815484-b3cd-4473-8c83-9347cf6daa4b'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,
,,,,,,,,,,,,0.5809,,,,,,,,,,,,a10ce602-229f-4c8a-8c61-95f8e7438a4a,5,,"[61.0, 41.0]",18236,0,,,2.3561945,,,Right Foot,,"[60.0, 42.0]",,Ground Pass,1.4142135,,Wayne Mark Rooney,3538.0,,,Kick Off,1,From Kick Off,Javier Hernández Balcázar,3058.0,Left Center Forward,2,Manchester United,39,['ee82dbf9-b9f5-4eea-84f1-e243d1e97f51'],1,,,,,,,,,,,,,,,Manchester United,39,00:00:01.213,Pass,
,,,,,,,,,,,,0.9075,,,,,,,,,,,,bcce0444-b3f0-45ab-acc7-85b97e846571,8,,"[60.0, 42.0]",18236,0,,,-2.4980915,,True,Right Foot,,"[56.0, 39.0]",,Ground Pass,5.0,,Ryan Giggs,20175.0,,,,1,From Kick Off,Wayne Mark Rooney,3538.0,Right Center Forward,2,Manchester United,39,['a9141409-33a1-488a-bb7e-6f646bae6f00'],1,,,,,,,,,,,,,,,Manchester United,39,00:00:01.834,Pass,
,,,,,,,,,,,,3.8627,,,,,,,,,,,,475c9f92-93b2-44c8-9525-fd93b2916a04,12,,"[57.0, 41.0]",18236,0,,,0.9151007,,,Left Foot,,"[87.0, 80.0]",,High Pass,49.20366,Out,Luis Antonio Valencia Mosquera,3267.0,,,,1,From Kick Off,Ryan Giggs,20175.0,Right Defensive Midfield,2,Manchester United,39,['8e225288-00e4-4ecd-8103-4f7885de959e'],2,,,,,,,,,,,,,,,Manchester United,39,00:00:02.782,Pass,
,,,,,,,,,,,,2.031501,,,,,,,,,,,,3bf37278-f19b-4db0-b93b-fe0792395644,14,,"[35.0, 1.0]",18236,0,,,0.7531513,,,,,"[51.0, 16.0]",,Low Pass,21.931713,,Lionel Andrés Messi Cuccittini,5503.0,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['ed068781-2bb5-4c86-a79f-d76ba4bf6444'],18,,,,,,,,,,,,,,,Barcelona,217,00:00:18.726,Pass,
,,,,,,,,,,,,1.4318,,,,,,,,,,,,2ac7b2a9-a2b4-4d5e-be60-1ddd60e22a90,16,,"[51.0, 16.0]",18236,0,,,1.6814536,,,Head,,"[50.0, 25.0]",,Low Pass,9.055386,,Sergio Busquets i Burgos,5203.0,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['534eeb98-7e00-4ad3-867e-19f7741b5553'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.918,Pass,
,,,,,,,,,,,,2.990693,,,,,,,,,,,,cd3817c6-0ccd-43da-88ed-233bdc42349a,20,,"[53.0, 28.0]",18236,0,,,1.5167948,,,Right Foot,,"[55.0, 65.0]",,Low Pass,37.054016,,Daniel Alves da Silva,4324.0,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['2441fb3b-7909-433a-913f-bfe08b4d1ce0'],22,,,,,,,,,,,,,,,Barcelona,217,00:00:22.509,Pass,
,,,,,,,,,,,,1.3565,,,,,,,,,,,,2b721a67-1edc-4909-bafc-99cdd421c222,28,,"[68.0, 15.0]",18236,0,,,1.8370484,,,Right Foot,,"[65.0, 26.0]",,Ground Pass,11.401754,Incomplete,,,,,,1,From Throw In,Ji-Sung Park,20173.0,Left Wing,3,Barcelona,217,"['3759084a-dc67-493e-a3ce-e26ef6292bf5', 'b6862e1c-32e0-4798-be6c-3fd95efb8c4f']",34,,,,,,,,,,,,,,,Manchester United,39,00:00:34.642,Pass,True
,,,,,,,,,,,,1.2867,,,,,,,,,,,,b90564bd-0179-44e7-8239-2711555dad98,35,,"[81.0, 35.0]",18236,0,,,-1.2014626,,,Right Foot,,"[93.0, 4.0]",,Ground Pass,33.24154,,Javier Hernández Balcázar,3058.0,,,,1,Regular Play,Michael Carrick,4751.0,Left Defensive Midfield,4,Manchester United,39,['4b4faacc-d8cf-4b48-bab4-09f30560092b'],39,,,,,,,,,,,,,,,Manchester United,39,00:00:39.546,Pass,
,,,,,,,,,,,,1.2572,,,,,,,,,,,,764442c5-e3f4-4c27-b1ac-33ade605c7ac,38,,"[93.0, 7.0]",18236,0,,,2.1421337,,,Right Foot,,"[84.0, 21.0]",,Ground Pass,16.643316,,Ji-Sung Park,20173.0,,,,1,Regular Play,Javier Hernández Balcázar,3058.0,Left Center Forward,4,Manchester United,39,['8b8f2b8f-ab85-449e-b554-d6a3ca01e952'],42,,,,,,,,,,,,,,,Manchester United,39,00:00:42.675,Pass,
,,,,,,,,,,,,1.109,,,,,,,,,,,,d8eeeec9-c044-42a8-9836-4f68f1f76235,41,,"[90.0, 21.0]",18236,0,,,-1.0838971,,,Right Foot,,"[99.0, 4.0]",,Ground Pass,19.235384,,Wayne Mark Rooney,3538.0,,,,1,Regular Play,Ji-Sung Park,20173.0,Left Wing,4,Manchester United,39,['f38a6c48-5f74-43d8-9526-45fbdd85c2ee'],44,,,,,,,,,,,,,,,Manchester United,39,00:00:44.835,Pass,
,,,,,,,,,,,,1.775176,,,,,,,,,,,,e0cc0ea1-ae88-4e7e-83c4-5e750c9b48c5,45,,"[99.0, 4.0]",18236,0,,,1.1861916,,,Right Foot,True,"[116.0, 46.0]",,High Pass,45.310043,Incomplete,Javier Hernández Balcázar,3058.0,,True,,1,Regular Play,Wayne Mark Rooney,3538.0,Right Center Forward,4,Manchester United,39,"['d0054566-a142-491c-9eb2-b8d60d1bafa3', 'fb8ceeab-98d3-4907-b86a-e96d7c403275']",47,,,,,,,,,,,,,,,Manchester United,39,00:00:47.545,Pass,
,,,,,,,,,,,,2.418625,,,,,,,,,,,,c2fe32ff-0a0a-4aac-b6b1-7016ac81c37e,49,,"[8.0, 40.0]",18236,0,,,1.6373645,,,Keeper Arm,,"[6.0, 70.0]",,Ground Pass,30.066593,,Javier Alejandro Mascherano,5506.0,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['802610dd-511e-42e8-8782-7193497d08a6'],55,,,,,,,,,,,,,,,Barcelona,217,00:00:55.146,Pass,
,,,,,,,,,,,,2.223974,,,,,,,,,,,,d18947de-6045-42dd-bcf8-adc65a452e1e,52,,"[21.0, 65.0]",18236,1,,,-2.2937758,,,Right Foot,,"[6.0, 48.0]",,Ground Pass,22.671568,,Víctor Valdés Arribas,20176.0,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,5,Barcelona,217,['b2508938-3eb4-4821-b64b-577fa0f22f80'],2,,,,,,,,,,,,,,,Barcelona,217,00:01:02.692,Pass,
,,,,,,,,,,,,1.513308,,,,,,,,,,,,82376822-82e6-429f-8b1c-c71314ae1c9b,55,,"[5.0, 50.0]",18236,1,,,1.1659045,,,Right Foot,,"[17.0, 78.0]",,Ground Pass,30.463093,,Javier Alejandro Mascherano,5506.0,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['23bddd9a-f32e-4882-840f-9196d976d530'],6,,,,,,,,,,,,,,,Barcelona,217,00:01:06.518,Pass,
,,,,,,,,,,,,2.284984,,,,,,,,,,,,ae26ac36-e8fb-48b0-9bcd-4875a8c313bb,58,,"[19.0, 77.0]",18236,1,,,0.07878396,,,Right Foot,,"[57.0, 80.0]",,High Pass,38.118237,Out,David Villa Sánchez,12737.0,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,5,Barcelona,217,['a435e224-1376-4dd2-bb9a-9e8def6837a8'],9,,,,,,,,,,,,,,,Barcelona,217,00:01:09.486,Pass,
